"concept_id:ID","name",":LABEL"
"9e3a366ca500d953bb8472dabe0176d6bc8d67755de7656a73df46ddcf16539e","地点","Concept"
"34c8d0a962d3e0f128b6b72f6ef218835bbb1a51c555cc52a49aaf61f48fe841","数据点","Concept"
"988d8ef2332eef9a9abdb6f3cf6c0c7baefccacb2ab0e3fa6e1a480aba317c51","代码","Concept"
"6512b0308e183e8cd0464cc5e517fdffb5cb4f5e150dfb8f349cea09503d68ff","角度","Concept"
"ba173ddc8d0139419b6cd63b1e5fd706e4590df03fdd643d9e5dc698875ac3b1","机械部件","Concept"
"25baf2f7694505e20692944d46514dcfe32d7227d5995eb075af2195f4c3510a","控制柜","Concept"
"1106dd6ff378597fcd40bb2cb6516a7a0e193103197099850838c734f32b4524","领域","Concept"
"be1dbb72e295ec6849e57f543bd83663649ba1a4cbcb9bede363730a63275799","范围","Concept"
"f244cb26ce52e3508e9a3e788e5dab66adfabfc0e6bdb4cdca5ceeed933f92e5","kks码","Concept"
"d54625a00de51f797b4ef07b6f11fa2eb7e8727b0795afe01bd8d5bf2179fc0d","发电站","Concept"
"beb8241036549416792d41d33035e4484b0517b4d913bff0fa5987053d078df1","成像系统","Concept"
"27d1bfc45dcaaf0fb63931a4c961091f2ab1e18a6e0b140fb10238d2082d4f97","机械装置","Concept"
"2b2e682b5a16de7f07b91908d26517ea0c5e63340cb20f34d89bf0e490a9584b","电力站","Concept"
"370d0cf3febd9112cf527004aff820057729f8a9bdc857b8b170bf15bf2c5fa9","设备标识","Concept"
"1688576ba19b33e502e627ec67939a6d402d6f07839f2d66c9957ac9d9fffb83","描述","Concept"
"bedfbdd85ca69ffa07c0e7d22b87bbb22fa546828ca160cf38ac2c35092f8f03","编码","Concept"
"e102bd4db9cc7997bd532e2d2b84ecdff85bca44fd718779f019f496ce2f2031","测点代码","Concept"
"a5674e0cb6b0a86350833ba612532bd0c006bba004fb6081296eddbf6540d19e","指标","Concept"
"8919a2ee09154edd707ef86e2abd6dd6b8822178938287c1bb7a9ecc56c5c625","量词","Concept"
"b7005c2caed40dab4748bab400dad0456935547901ffcaee2e7662d183b80f19","项目号","Concept"
"cea9b154565fc20f17edc9c2e259e191de17123f0d4c01aaf5baa99e2c983e13","数字","Concept"
"52d345abb7843b0e0185963da42d255a8add08b947ca010506b6bda9a464ce3e","电气组件","Concept"
"4f975f4b58a61422093daf832653cc393f164e527c65913e2044ff4d1cc8975d","信号点","Concept"
"aea45b643b70f0d716db451cac3bab79a0bbd258c1cdbb85bafdcc1b0fa7b6dd","电子组件","Concept"
"dc11db10a573f256b62f2ea4f8b32b44c9ce10932ac796a29bb79a893325b348","能源站","Concept"
"059c81a5374baa3858a3dd43dfbd1c8566c859ae17ee07ba89bea3b41a260bc3","发电厂","Concept"
"9e24dcba020d5405e60243e573fa316ed6fe4c208ac4020116820f97b5d8aa3a","监测单元","Concept"
"4a8c8fb1b9e9c0e53c75cd58ab17f1dcc133ed1d651d4bacba3680d8bb6956de","附件","Concept"
"9edc04a7a2294e6df2dfbdded6df59d1eb301c7d007284114cc5bdc4e9004bd6","码号","Concept"
"0f96af10ceea0608148063b08939f7f211ebdfcacd4eabbc733385bc8217aff4","电站","Concept"
"fb2485181bc1675b492b34209d5c9b9e498db327e14a4074cec89075cc74ffa1","系统标识","Concept"
"b7ce3bd5e3745dff71074b90f6845e48b4ac2b5a59efa1920e51c9ca5739e4ec","机械故障","Concept"
"85a11ecd44a2ca6e6c3d9fb702dc424e60b24436448e5646fd2a78cdfd0eba20","数据采集点","Concept"
"3fc4da8bf1290f6d8df798ef242ca595781935b339b7c12b22ac10f0394f9500","监测点","Concept"
"614bd39211f16e739e908349a50df3af749bc56e23b839dd7e1d0978f684dfb3","振动","Concept"
"2ffecbffdca5a73bd5b0f5a9db2a99ce57bc092250d35162eedd22267564447a","类型","Concept"
"c2373dbb191e71cfbfce15b29a74096371c0c9e8f371e5e24a331c0878a7ba48","系统编号","Concept"
"b200bd39eacfa8f16e06852e9e89be21c4d793461bef5d78a614e4d6d89fa311","装置","Concept"
"3c6b97848c2fc09ddeb261e382e2cabcadb7a7c0c75de931a49027b056e45ad1","存储","Concept"
"f60bae2d4a40c83e0e43b8facbd23085df8dcae4a3170cf6409477964e0d5991","自动化元件","Concept"
"fe388981c3b80c7625890957614ef48745816f4b927eb2240eb54e66c1c3f172","电力系统","Concept"
"acddca0f2f1bf893c4fef3cfb28b346d537cd74329c7acf59131460d347c48a5","控制模块","Concept"
"cfd6a37f24381248a78cd6fe57f76c237da50feee1b9f12b8a29ce957741ebeb","电气系统","Concept"
"ae886c8aba01c798b5429d26ad474fc2b1504594997402a2e7d74ca622761ce3","系统区","Concept"
"0131ee44e69860cb4634d2e17b4543a7f252587eeafa10d50753709e4eb46747","设备","Concept"
"eeb97366df8f6b606b215a625fc9a28473270149b0279d9b0e83b7ab90dbd659","检测点","Concept"
"de47da4028002def451a8e50d57474058ebde2f87414f84caff5ed6fffd74f77","xq02","Concept"
"0b8a4c231151d88314ffbe545d32296de97cad46e92bb2410e00904da6da9750","主机","Concept"
"f6123d8db4aa079688d04eedb4211bb832d4125145725292eb44b0c28031a648","变频器","Concept"
"c8b5a49761e908a6eb0c74046248a6c1cd4d9465d73a51e75ceabd56af6422a2","无效","Concept"
"973514ff08e143e2436bf76053d67641330856cec14ab5ba6c98148ae84899d7","控制中心","Concept"
"8fdf0bf951e70ab0d175bdb4279ce6137edeb8b67606cfd70ee55bdfcd351be1","地区","Concept"
"b5269ea2bdc3148f717f3bef2f19ce2eaa57d8d396f7d6db7cc797d71fd28df4","编号","Concept"
"ce684e86a91ce2839da02645cd0522ff2ecbfb2c8afaff1d31b417406e78d820","空间","Concept"
